experiment,timestamp,count,precision,recall,f1,exact_match_rate,exact_matches,missing_in_gold,path
exp6_agent_blind_gpt4_20,2026-02-19_21-56-10,20,0.15,0.15,0.15,0.15,3,0,outputs\exp6_agent_blind_gpt4_20\2026-02-19_21-56-10\gerbil_test.json
exp3_3attempts_gpt4_100,2026-02-11_23-29-14,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_3attempts_gpt4_100\2026-02-11_23-29-14\gerbil_test.json
exp3_3attempts_gpt4mini_100,2026-02-11_22-49-49,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_3attempts_gpt4mini_100\2026-02-11_22-49-49\gerbil_test.json
exp3_3attempts_llama_100,2026-02-11_23-58-17,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_3attempts_llama_100\2026-02-11_23-58-17\gerbil_test.json
exp3_3attempts_llama_100,2026-02-12_00-09-24,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_3attempts_llama_100\2026-02-12_00-09-24\gerbil_test.json
exp3_5attempts_gpt4_100,2026-02-11_23-42-09,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_5attempts_gpt4_100\2026-02-11_23-42-09\gerbil_test.json
exp3_5attempts_gpt4mini_100,2026-02-11_23-03-39,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_5attempts_gpt4mini_100\2026-02-11_23-03-39\gerbil_test.json
exp3_5attempts_llama_100,2026-02-12_08-46-24,100,0.11,0.11,0.11,0.11,11,0,outputs\exp3_5attempts_llama_100\2026-02-12_08-46-24\gerbil_test.json
exp5_3samples_gpt4mini_100,2026-02-13_17-35-21,100,0.11,0.11,0.11,0.11,11,0,outputs\exp5_3samples_gpt4mini_100\2026-02-13_17-35-21\gerbil_test.json
exp5_3samples_gpt4_100,2026-02-13_17-59-39,100,0.1,0.1,0.1,0.1,10,0,outputs\exp5_3samples_gpt4_100\2026-02-13_17-59-39\gerbil_test.json
exp5_3samples_llama_100,2026-02-13_18-26-02,100,0.1,0.1,0.1,0.1,10,0,outputs\exp5_3samples_llama_100\2026-02-13_18-26-02\gerbil_test.json
exp6_agent_0shot_gpt4_20,2026-02-19_22-05-30,20,0.1,0.1,0.1,0.1,2,0,outputs\exp6_agent_0shot_gpt4_20\2026-02-19_22-05-30\gerbil_test.json
exp6_agent_full_gpt4_20,2026-02-19_21-39-58,20,0.1,0.1,0.1,0.1,2,0,outputs\exp6_agent_full_gpt4_20\2026-02-19_21-39-58\gerbil_test.json
